#Table1
ra,dec,z
124.35742,21.685528,0.01187622
124.36286,58.111689,0.02721315
124.38526,28.357717,0.01986197
124.3862,14.350243,0.02255471
124.38933,58.439709,0.02880161
124.39209,11.443292,0.02009696
124.39478,43.209042,0.01308457
124.39584,20.903072,0.01557976
124.40015,58.159923,0.0279548
124.40598,58.456232,0.02446735
124.40663,52.043422,0.02355351
124.4076,21.603429,0.02232824
124.41016,58.59119,0.02449889
124.41641,53.422316,0.01133284
124.42532,56.257515,0.02607945
124.4279,22.277418,0.02192995
124.44305,29.255495,0.01996748
124.44614,20.279827,0.01481252
124.4463,56.465004,0.02978922
124.44764,41.982891,0.01887246
124.44793,23.476533,0.01286902
124.45578,38.795379,0.02122352
124.46008,25.48931,0.02759286
124.4609,52.161668,0.02353659
124.47195,58.555202,0.02795795
124.47458,3.3765641,0.02989064
